query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
RETURN 1,187169.2378909825,117197.9148746585,121356.50533716999,1564.063104973476,10310.080232825241,395919.384,404038.072,0.077726
arithmetic,2248060.5174492826,549587.1867237595,533198.2106531231,786.5216469445467,15943.347639495554,435819.128,435748.424,0.178449
float math,4014184.3740809048,939781.9374192079,898678.7832090326,3096.417182039496,17768.249485825007,435379.792,435422.072,0.273833
split+trim+replace,314754.4325313069,129214.20668167758,164436.95477305108,2437.532696873145,16836.508016859647,435868.32,436167.504,0.077021
list comprehension,7639348.266825257,1596016.3105006744,1818582.9649039074,1644.6991437861063,55740.00452107971,847930.896,847835.888,0.458496
reduce,4323483.13458273,889546.4412434807,1029223.5404417864,944.132549878228,32433.85541005634,558244.416,558686.456,0.291996
list ops,947591.5251146125,274764.8162404032,200329.73431579917,733.5418082542712,10012.675873150345,435596.72,435708.576,0.10664
type conversion,3108832.9704201575,691216.8789465325,893122.6206149253,2927.3692435142993,29849.479788577482,435683.296,435593.648,0.211038
temporal,419357.5016121699,137885.3284023773,75869.25946923168,535.5393498499662,8499.68445744143,451736.608,452091.64,0.06207699999999999
spatial,190797.89652289808,83988.10331680794,39780.70934018662,430.6379149357224,6687.582538714381,435352.8,435358.192,0.046224
string extras,209837.80886874656,90415.07042355921,36214.22576162492,329.1333061355109,6197.116472697167,476316.288,476331.184,0.048495
label scan + count,187853.4376027347,83273.0474954827,22329.779042920814,172.6783201627182,6243.7112994086765,435563.504,435423.744,0.045716
index lookup,283168.1466028604,104639.67573386476,66796.14972433407,585.2823359221719,8561.712292281196,435372.416,435543.384,0.052717
id seek,195874.85812104546,89161.6623256311,38224.35622580914,421.55830273551993,8565.910883990353,394684.528,394420.08,0.051236
label + id scan,351540.7232665495,116893.61541607598,65652.9118241148,502.00801370569434,9060.374563433637,435535.216,435676.96,0.056598
filter scan,13324698.243591253,2576790.862097147,3100848.642191383,4068.365645057695,45583.625979617675,435548.496,435457.976,0.750854
string predicates,13337764.496044219,2755496.5445612315,3178480.345601042,3604.3382827963987,44641.39746850554,435363.568,435387.248,0.816136
string funcs,14939664.596277969,3162292.0589165664,3344871.4393793107,10881.750035720188,66393.77159565111,452015.664,452001.768,0.939441
IN list,691650.2389192301,190394.44970455687,148299.63764983983,209.11125287674298,9656.196342498393,435362.92,435397.168,0.083784
CASE,29888866.645537358,6655032.228030579,7625040.127648585,30532.200008279873,130488.56727963682,435501.568,435500.584,1.885977
coalesce,23050949.452824097,4956685.3051205985,5963589.731337303,369.96431826290114,47789.81472715455,435475.328,435559.984,1.40431
entity funcs,277370.0471534917,115819.23974888577,59129.25485828494,508.1433474916505,8665.596496293625,492718.192,492924.248,0.06839
RETURN DISTINCT,13835445.897503676,3231043.864722675,3426943.582931338,6003.748210964024,52483.940541521224,435418.192,435402.064,0.956693
ORDER BY + LIMIT,23842299.489654828,5001986.583804848,6123461.801488717,11858.013352456317,81634.08084506834,451745.408,451773.808,1.443803
SKIP + LIMIT,27734050.578138597,5260091.510136409,7372795.945923592,22813.91669663575,205990.4547748944,1869485.12,1869294.336,1.514275
traversal + count,41568307.92913254,8078340.133358935,9405187.670619488,6493.652099514741,188095.09094068868,452216.496,452436.536,2.283309
two-hop,58081056.14661992,11201176.483940369,13188220.693952888,12480.719931315929,231363.29323431678,452170.808,452222.832,3.135968
edge + type(),61635016.20043353,12152743.370234555,14646769.030293694,16984.966859882203,305068.51640833577,476608.144,476603.416,3.398851
var-length 1..3,278754.8781257119,108608.97733804442,36748.1078915105,116.73029793111259,8091.178939455491,451743.584,451795.24,0.064521
var-length 1..50,279321.27870454424,102975.62047033553,43084.741165121006,205.025504477076,8965.267361600982,451735.808,451748.552,0.051832
path + length,329958.70928584127,119891.73393629388,47645.16684962171,160.1052184961374,8479.608540794074,476359.168,476339.216,0.057089
path funcs,374489.5292687629,134811.7482729791,60590.50887217849,188.1554896598846,8078.854334736198,492747.888,492908.224,0.060542
OPTIONAL MATCH,399274.67081286816,145053.07777751572,69216.071750099,221.52610089455078,11105.979744828448,517286.208,517348.136,0.062779
expand into,286256.4831303434,103007.08181598654,43893.6821774542,115.98632843161869,8761.713576265563,451903.728,451790.224,0.051991
agg count,11225184.29632801,2202418.4524275954,2452341.985123929,-692.9405703430074,22105.6674958215,435352.832,435401.408,0.64774
agg sum,11353774.970293786,2229155.1497533694,2647234.1814538916,823.1278973835101,39358.904455258344,435434.208,435453.408,0.69067
agg min,11888712.718088128,2371641.297897771,2614138.992015851,1529.0410214868402,41753.948443983776,435351.808,435352.208,0.715915
agg max,11998241.183652585,2418178.2329990217,2728231.052292483,1706.409049956861,35490.692929979006,435351.808,435367.352,0.730022
agg avg,11588943.68529777,2295449.1294044326,2593484.055790629,612.8847274125535,31344.24539079849,435352.288,435374.632,0.713579
percentileDisc,12855707.58360151,2576941.0037819305,2806814.5074213236,-1153.0251560973581,41942.83772333297,722422.16,722173.544,0.773197
percentileCont,12838447.795105755,2576363.778227242,2661706.003891958,-4662.98623371231,30774.769513071828,722071.808,722075.592,0.774886
stDev,11771026.13644422,2375944.626511149,2550041.4178739777,-1903.76537670012,34241.321648796824,722072.8,722075.848,0.731924
stDevP,11772691.197743453,2368581.0969277406,2633365.991855778,-1182.291129740279,44125.45312853103,722072.0,722073.16,0.723419
collect,2322725.837890289,513894.2600564972,462423.443259318,-229.19119363557292,16430.272848877947,442699.008,442543.808,0.166399
count distinct,18769138.69418859,4124259.007934809,4271992.871495199,6864.129137645776,61602.45078352472,435851.04,435893.232,1.188154
MERGE existing,300661.43462612265,117209.80272698897,55301.84029332553,300.10538250996206,8170.654732296756,435385.856,435583.824,0.067512
SET property,427816.7114899282,152889.6693050566,192932.73543991748,2251.990685467582,17104.2682180137,435658.424,435566.896,0.07151
REMOVE,410644.184103853,121676.41660209133,74380.7033602052,174.02254637150875,12677.136157944977,67479.872,66988.864,0.056293
create node,155336.05650522615,69696.32499605407,15634.96533543475,55.575071997286926,6372.308786948968,66799.12,66936.4,0.040487
delete node,880315.4796376573,245187.7614305617,208342.14987953936,666.3118606236421,25223.399141644568,598897.544,598694.016,0.089421
create edge,222988.24505909721,85458.91241000315,30879.949510895698,60.94480727078073,6479.492442151444,124138.456,124924.888,0.045668
delete edge,356938.42405982985,183904.68590128302,-217532.43445356633,-676.368184218863,-187789.939293526,126367.696,134393.496,0.093534
aggregates,32111335.478377886,6569822.563437366,7196016.293432932,1256.074276418008,43327.20285245316,492988.368,493204.496,1.866575
WITH pipeline,16331953.233339736,3283495.0374243725,3713381.046490913,-1062.036570943808,36014.42788905511,446210.496,445836.56,0.982637
UNION,661243.3666899421,183890.7863188451,109874.38739182054,30.047271345616434,7502.564385475727,477462.176,478017.52,0.081836
EXISTS pattern,5692605.999933052,1151203.8997766667,1196948.0191323624,665.1268459131783,30888.73577818433,452019.024,451991.904,0.336575
pattern OR filter,739781516.0170486,145926270.5348639,160185858.84701133,24115.84875271535,1775307.0620743278,453140.872,452801.0,39.600342
hash join,47153611.18534347,13172253.691891447,11147799.517080616,-4594.395203358762,436622.8834762844,6269996.456,6270093.336,3.657188
