query,instr,cycles,branches,br_miss,l1d_miss,alloc_bytes,dealloc_bytes,ms
RETURN 1,239475.99306045944,118082.81319179045,-4349.897208764591,-239.48914361723024,2717.124922050271,2320.688,4221.696,0.054744
arithmetic,2561120.999806548,530615.7226796614,397569.6297689733,-1053.6397790097894,-3397.3038193765765,2004.344,10329.768,0.153701
float math,6745931.168778514,1607502.891676288,987904.2535269485,-374.70511858058444,-12745.310637838415,2128.192,2126.504,0.437549
split+trim+replace,1102079.8729334217,317926.2518685628,299429.7193292306,1878.2579739064242,11543.867682439251,1877.224,1984.6,0.120713
list comprehension,7348917.263741139,1329426.0372880902,1270000.9605179548,-2698.2264135918363,-1171.8443983232974,291563.112,291571.608,0.362308
reduce,4800187.3905724585,1063772.5722415783,769869.0307765616,-1483.4753113440456,-2661.5300683424566,165523.776,165927.016,0.357953
list ops,1535403.8857995975,383893.7727997568,206857.60830614265,-555.090465234206,-501.8932635937334,2417.624,2105.032,0.12469799999999999
type conversion,5919509.720074084,1240241.705708135,846939.6743780379,-2803.2095440956787,-16569.942644527968,2003.376,2062.952,0.33301
temporal,246169.06527981133,110561.80376926032,-5593.304458430432,-326.27970931836364,2640.007968551181,1505.352,1343.952,0.045948
spatial,251816.57579186576,111244.00400478215,-3618.299275348492,-303.0421817792515,2943.5092640602625,1820.928,1447.488,0.045533
string extras,252260.87525001148,110094.86293992751,-2992.6520129608734,-317.6549554364613,2803.3853533548363,1379.76,1741.224,0.0449
label scan + count,240219.98036984412,107360.9394671749,-5794.670770247325,-324.01299241767833,2616.8837295285643,1439.08,1604.672,0.043678
index lookup,336648.0425776523,131532.49282647905,12835.339959845998,-329.6109157892774,3452.9507934571593,1908.96,1827.976,0.051456
id seek,277592.46058563626,120158.63290479041,3109.972039557949,-290.5431199804997,3696.9008814440585,23610.688,22319.496,0.049522
label + id scan,317858.787213966,126731.85116044419,8841.61878306435,-301.37003731487914,3528.814462120693,1900.248,3125.416,0.049874
filter scan,5031564.219014412,1017602.0103296312,1165977.2994801824,666.8620917504211,40147.92587228834,4901.44,4437.696,0.290475
string predicates,16915656.297405273,2898881.842675778,2731097.4447835344,-3548.924613567993,-2909.204985901937,1755.168,2734.888,0.820801
string funcs,15004447.556361154,3091643.650668973,2616622.2139033745,-3388.5354409587885,-21226.354842968678,2166.784,2190.528,0.875827
IN list,858603.6021935646,253450.6615344088,111720.18145149812,-523.1084787571785,2787.6158784284453,1694.52,1555.376,0.09164
CASE,31114096.724726114,7846797.667600591,5284751.732512379,-3157.9014498651027,-75864.72244103505,2040.56,2324.352,2.113837
coalesce,27512058.92471936,5253683.566975687,4511317.366525054,-6883.532103792891,-37235.531042761344,1900.12,1953.608,1.45477
entity funcs,302513.25350002764,137480.7651453328,-1019.5585094420984,-270.5886029340953,4392.885313868157,1724.352,1493.064,0.064498
RETURN DISTINCT,5531957.019381732,1041907.6124880974,1150025.9526445274,-585.246198975171,43599.62715458046,3898.752,2848.992,0.305205
ORDER BY + LIMIT,26413097.121793512,6282928.163138182,8588372.012175407,49956.27291609031,471729.5879583432,3407.256,3179.024,1.853521
SKIP + LIMIT,12052027.812275883,2487745.5407091235,4483389.941190829,24288.962951085534,319170.5472793628,892083.344,890292.416,0.774237
traversal + count,20088646.925612725,3466240.0418063016,7946560.069869495,46851.25151027659,325697.1647630646,11107.68,12806.432,1.033702
two-hop,16310348.541309614,2902681.0480739344,5974370.941179301,78684.71604247032,170052.79987457502,11727.376,11872.504,0.886934
edge + type(),87800804.92348582,17042660.803700294,23431553.871186044,145844.99193080742,304012.85833507776,14685.864,15932.88,4.742717
var-length 1..3,364158.4115857911,147915.48850816107,-5387.394091653846,-507.43460629802206,1714.9994049222826,1722.792,1787.688,0.067145
var-length 1..50,611849.844215064,236005.02418047225,468437.1294140208,7080.644482278946,61608.26394794371,1785.224,1719.36,0.097329
path + length,397862.38939363405,152380.4462005216,20341.95582538083,-174.7735805820639,5493.11405927331,2017.944,1889.752,0.058206
path funcs,386739.6642612338,147433.36678765737,14858.876978504435,-355.84439497801895,4328.727271074492,1831.288,1952.704,0.056335
OPTIONAL MATCH,356346.0747720238,139820.50323608593,13717.67237064267,-273.0706705622772,5155.9375393861155,1829.4,1984.152,0.054097
expand into,426613.4699129605,156368.75568638393,20431.33950006894,-364.15256960651175,4230.233863852207,2036.96,1860.808,0.058785
agg count,5036740.534549234,960455.9462637875,1092368.8789332104,516.7226913878545,43435.22487166863,2355.96,2037.808,0.27227
agg sum,6628875.138098014,1400060.5252484188,1504395.3382930153,965.2234576059319,40702.23838721955,2070.208,1949.616,0.441067
agg min,5560803.578305365,1062096.6626958277,1227858.2351914635,267.85845509514076,36362.5242914512,1764.624,1788.392,0.358023
agg max,5878295.677429939,1104464.5432664903,1144249.6080856558,-2771.5378586657907,20357.05831872058,1766.416,1761.4,0.3668
agg avg,6820464.843407239,1380004.7906549547,1221056.5003462648,-3508.883212815822,15978.07306406113,1762.24,1766.328,0.43768
percentileDisc,26462492.59090481,5023877.139155802,4609575.44561045,-6618.896352347189,-18187.28274000562,944367.392,945144.176,1.404211
percentileCont,26457509.015513618,4983273.998013196,4440563.116028722,-9798.656961252573,-41999.836819150456,943909.792,943918.896,1.385118
stDev,7099064.016305105,1537815.4945142742,1374303.2079185233,-2419.098086076833,47707.03726507257,617246.888,616411.272,0.477075
stDevP,7095535.205523745,1525211.4882637733,1284245.6280807517,-3698.005964150303,49788.791732656406,616172.288,616185.024,0.471207
collect,2998937.333625609,610126.9119542739,443944.1981609937,-1421.5405007742158,1726.8641455356228,2068.336,2920.032,0.181499
count distinct,36263321.47569651,6836311.45113119,7816908.992216714,3568.820435179308,51233.76712809396,5070.152,5617.352,1.915345
MERGE existing,543762.8299103484,193346.18222866478,51021.86983818787,-159.70181761802536,8115.360538770074,2125.064,1664.312,0.077955
SET property,459596.69113104563,164370.9288440216,26781.702201219567,-389.4200924004292,5549.734079576416,1787.824,1768.512,0.060817
REMOVE,405027.0982230548,154677.39115700033,17240.584268452152,-320.0772600040359,7645.100446668342,1987.392,2034.072,0.057442
create node,412103.8710115297,162617.14642173224,10869.037470801904,-400.9165661460161,33781.41116109686,281103.12,281133.472,0.059332
delete node,9512269.145160997,1818556.3867489179,2293315.085149659,-949.4973877033852,198313.72975650625,2683635.792,2683794.448,0.524759
create edge,600243.8128438698,235855.05340993256,128908.62805509089,932.6818758390671,55990.38411695123,440328.528,439995.288,0.087295
delete edge,3804368.5001176572,794583.8302867732,806327.8300883193,-1236.5645915782616,108924.19797857536,1280033.304,1280289.016,0.222629
aggregates,16717733.87889518,3174272.8692588867,3170587.964430063,-6920.824949427879,84121.12250322808,51226.928,49740.472,0.896017
WITH pipeline,28504227.343949772,5259083.759899299,5080100.415623345,-4067.0090846263,-41428.98001275672,4784.368,5997.544,1.477739
UNION,352302.2593585362,143318.88410317354,5927.240900053874,-355.2323486103073,3549.9137375424484,1930.008,2560.384,0.06771
EXISTS pattern,679002.2695231866,204279.09130150234,116247.75231983411,-264.5520156754593,9195.300531803794,2133.488,1985.088,0.071789
pattern OR filter,39643573.82097294,6695146.785691355,7400887.824268941,-8801.694782624128,11073.805761330375,38292.648,37565.072,1.867046
hash join,31181882.10769843,6402500.659455588,6525072.442614648,5001.471756543208,240748.2531064722,1611506.696,1610589.0,1.785244
shortestPath,337218.46048722195,141932.51677281273,-6173.805062386826,-424.82460975851797,2915.070107677626,1830.224,3876.528,0.066598
allShortestPaths,408745.9876172529,150536.3374803389,17467.443587870017,-301.8985799879988,4739.282972118235,2228.608,2004.784,0.057144
CALL procedure,274553.2459995954,122043.21774603153,70562.31989123081,547.5595610232039,10077.870664460124,1452.768,1399.32,0.050825
CREATE + DELETE,14176164.750832528,2568915.107659779,3750725.4266351545,-2227.9906910288846,285639.374413111,3586286.8,3586601.952,0.733712
FOREACH,449114.6764075423,185448.05285854757,133401.0015257616,774.7412537750106,20327.41635844535,1846.616,1727.384,0.078259
algo.pageRank,17289503.783309255,3834003.0529469373,4613919.635760448,18006.77162777827,391866.04614887526,2646878.208,2645706.904,1.13001
algo.BFS,3977520.5594682074,871185.8916788965,1215379.3526504214,672.4691100332402,95720.22082455168,722811.528,724249.608,0.304924
algo.BFS unbounded,345790848.5238539,69153744.63076754,79504476.42735289,141956.5195488542,1785301.0761403544,116854675.888,116854508.92,19.033465
algo.WCC,29694072.239994653,5468476.691392002,7042056.050814487,4946.122695299228,735010.6912473842,3141807.984,3141141.808,1.561432
fulltext query,316962.1325036636,141484.40027050307,85747.77373636098,518.2571387841247,11560.017068403065,1582.84,2454.48,0.064995
vector query,312356.98722171184,135102.8277518523,74838.17391399443,396.4236030466481,10976.54375594215,2021.552,1909.176,0.053133
vec distance,267217.6629668716,113630.41461949932,-3512.574320996933,-316.2371144407762,2165.812873645955,1631.28,1532.928,0.046352
edge index scan,323622.1409537492,129119.39314202117,3054.8716137624606,-317.32361053839475,2738.7582097612485,1989.608,2139.72,0.051159
LOAD CSV,1346852.355323272,367954.55623876024,408384.8298147396,3157.3825998319035,25138.22787443715,11836.36,11718.872,0.122846
LOAD CSV headers,1661229.9857259255,422976.03034873883,374985.63159495353,1321.952078612392,23035.044469046345,11602.656,11614.056,0.13553
UDF call,307519.95774783404,155770.91951424858,183459.56418272495,2174.42378656414,18546.684481259977,1454.608,1371.568,0.065092
db.indexes,540341.5324614533,173391.95979166296,73231.03570469572,278.38070894074616,8138.635368239097,6198.904,6456.136,0.065826
db.propertyKeys,295271.7439247399,125525.221758714,88689.07821085182,560.4017895417908,10545.171837010723,1503.256,1425.016,0.049669
db.relationshipTypes,275002.99917776335,125309.53314485132,120960.91945206154,908.5422131548119,14430.365243829085,1665.512,1773.064,0.049876
db.meta.stats,311493.042146461,132202.41004152194,88254.00615780553,574.4320084660933,12583.450807269839,1461.904,1498.896,0.052198
db.constraints,300124.77511784696,127104.3703812276,83821.34483070478,585.5822316454204,10986.34055574222,1610.376,1570.568,0.050487
dbms.procedures,321661.38042960095,127905.03136195012,44441.277465841595,40.52616747040837,6636.03528697872,1556.04,1556.888,0.050746
dbms.functions,406244.75796362845,151140.88558460298,107158.97325077007,490.84281297073176,13423.585436754714,1925.496,1994.672,0.058285
algo.betweenness,10775730.738398824,2134344.771362547,2795741.3903171457,7298.662858735054,86649.77180116269,10859.2,8343.36,0.6296
algo.labelPropagation,8786855.560960276,6841486.991810977,1679061.2596852654,8706.665503819799,153722.32823163908,7616.04,6500.72,0.664815
algo.MSF,1654584.8596699527,496716.8562842878,191205.8916987364,-214.12728778323827,21245.393778871596,614712.68,617700.72,0.18453500000000003
algo.HarmonicCentrality,199475471.18770352,76924695.64167218,21356958.349960502,63752.27032234028,3664019.517149041,11791512.48,11793020.92,20.49889
algo.SPpaths,394622.4571369723,161076.48705647513,73869.90708012819,374.0381001172813,10767.0610943408,2331.368,2055.352,0.070153
algo.SSpaths,325089.08283352124,133775.74589176095,28856.197295239024,-30.066396656319384,5862.397712364613,1756.832,1967.864,0.052602
algo.maxFlow,1668747.5469808374,526962.6102009299,482385.2696187395,3308.371668017521,42316.92360413355,1058937.28,1056186.52,0.18275
temporal constructors,266335.0939195228,122460.19974149246,82579.01566180914,695.8267554270043,11898.02459758418,1581.208,1538.296,0.050056
temporal components,280234.50660334236,123064.09818957401,80948.66162924946,544.2204316855131,11219.920869366955,1592.712,1921.344,0.049742
temporal arithmetic,255003.1734616938,119461.53091130515,74880.13791171742,529.1610183574101,10696.901965983781,1571.264,1862.944,0.047982
temporal compare,244365.1483734801,108356.63559234515,-4661.353524444245,-266.3152506994583,2497.8614840634723,1546.016,1607.128,0.044175
NOT pattern,450351.47246303444,168444.19368371431,91395.3950079353,727.7690013373125,7333.99785313073,2408.928,2278.432,0.064942
map ops,266302.84813942714,113563.09727808472,-1730.9533850187734,-273.02431952309627,2682.995092365465,1644.256,1366.432,0.046011
list slicing,287139.87692798063,124925.00116087143,78342.062380845,560.6257081608691,10496.24847032272,1481.144,1763.976,0.050387
null handling,260692.827206694,119570.1269101037,81622.85729145819,663.7924792486808,11870.675953050879,1616.28,1778.696,0.04888
boolean ops,658672.5908316975,233864.82424732854,197278.78252673792,1629.4968475610367,18964.493826149053,2111.504,2108.616,0.083981
order by mixed types,329673.1838914543,203203.05514210375,308752.66476282687,4300.671007449123,29247.01138359921,1738.6,1962.376,0.091049
SET += map,475327.81325395947,179517.46290457796,128341.92522865845,710.5769676161275,17560.791958425434,2255.048,1933.576,0.067992
SET = map,515446.5077816651,181679.66919176446,33601.491058868385,-283.91840250040127,10061.839972214138,2538.608,2585.32,0.066416
SET/REMOVE label,525181.3649350908,197042.6559096245,142770.2592289435,802.3142160065908,34058.98704517659,149327.84,149526.48,0.071711
MERGE on create/match,570524.4684146479,245308.18634182285,802306.1088573803,9583.064453681905,97866.62932614073,2020.136,1884.176,0.12488500000000001
DETACH DELETE,20319573.413857043,3712769.82738794,6035738.464668167,3456.3473638002592,515448.1000922413,5778160.416,5778504.416,1.076724
trig,1165373.263283988,333065.8976898584,111497.88469901147,-471.5432466961788,-263.8028465297456,1843.864,1983.712,0.114451
inverse trig,266518.2090927904,115167.98922804873,4288.743185893089,-188.3051372829781,3522.2043952207737,1413.048,1396.384,0.046787
math extras,1569979.2678339025,411251.5828183403,170999.66882161,-833.2434973736596,-2589.4959878879317,1997.56,2023.192,0.128287
power + float mod,519731.39176830696,173929.526860122,29292.635303085743,-385.17390007585647,1947.8823177432328,1716.224,1760.088,0.063765
conversion extras,285345.5446274512,118812.05166061768,7535.192995413318,-205.42751323626266,3502.0134603851175,1783.184,1526.44,0.048912
toJSON + isEmpty,258077.53383692147,111585.02616276684,-2096.579149499938,-256.7566564159361,2644.272476313321,1566.288,1578.448,0.045641
regex,21007468.284928024,3764840.4634977058,5061106.322637482,7444.696930177376,111103.00976383185,2159.216,2665.664,1.107878
string namespace,271121.17629198136,129677.90429912542,94111.4468116827,750.3561649902532,12339.771455774118,1823.936,1403.888,0.061913
list namespace,281783.6477807197,121818.51414236816,80032.67403846039,591.486437618838,11029.748206290096,1701.072,1547.528,0.049235
list concat + compare,260018.69845363128,116164.496214939,66352.41926849145,324.51388872268683,8904.782214468149,1515.992,1637.944,0.04743
quantifiers,266047.01221997355,121436.53962369141,101067.41948372682,648.1786429981906,12360.35394399305,1686.4,1659.16,0.049045
CASE value form,25231041.669444982,5280049.2380159,5500386.82315715,12457.947409362785,65290.02879006627,2338.632,2866.464,1.517101
pattern comprehension,405033.30380798614,166391.20513203662,42017.04749462378,84.43376955136762,7504.507159933042,2335.504,1908.56,0.071939
point accessors,268614.02063266834,120489.82767783923,80277.75854445598,590.6815208785237,11009.885699811657,1623.96,1402.448,0.048525
txn temporals,261617.7903261314,118055.25171433827,67897.08645836184,500.66861916832227,10302.912208001699,1740.04,1686.208,0.047879
duration accessors,292025.96132431226,132612.5663353837,104662.55420634038,872.4901713245055,14579.692928944623,1592.128,1871.92,0.053956
week/ordinal dates,256560.14888695616,123105.49385106983,85256.55157660942,789.2707476149152,13051.645133827478,1776.008,1638.488,0.050555
CALL subquery,725315.3844668253,228787.6884122552,209837.79612252658,1205.7722567380101,21721.152131143863,2515.896,2532.96,0.083062
UNION ALL,345183.3304820858,144158.4590063849,103544.42121032435,703.937843922055,13807.88633535906,1883.072,2334.832,0.05682
undirected,380659.2089612569,154542.05524652603,102149.38679591069,559.3778743758821,12581.771709417266,2176.04,1941.864,0.059611
multi-type,423808.2838222157,168334.85316049846,93304.54922378006,668.5634011204654,24121.134523957742,124781.816,124805.472,0.063983
entity extras,428572.21471858665,178539.01864403815,146480.11083103245,1683.3020311970745,12478.256314344007,2268.64,2108.184,0.068795
expand into WITH,375806.44636391284,152406.30698924357,106890.3458343644,1051.038507125784,13640.415107605699,2039.272,2305.632,0.059644
self-loop match,397575.03020700836,153122.05438232285,101224.69354551425,493.71181455246324,11465.33760716581,1887.44,1919.352,0.058824
return entities,420689.96660752845,165701.82264112777,130072.15581965064,856.8285101853523,14155.683268602992,24343.744,23076.688,0.067641
return path,387845.0512794137,152344.21841350858,94432.99920751985,401.32931361308124,11377.344043749032,1919.344,2764.016,0.05882
